Customer Id,Branch,City,Customer_Type,Gender,Product,Unit Price,Quantity,Total,Date,Payment,Cost,Gross Income,Rating
603,B,Atlanta,Normal,Male,Stationary,1138,2,2276,18-07-20,Cash,990,1286,5
903,B,Atlanta,Normal,Male,Stationary,518,4,2072,14-05-21,Cash,432,1640,3
759,D,Texas,Member,Male,Décor,1164,4,4656,14-10-22,Credit Card,895,3761,4
777,D,Texas,Member,Male,Sports,446,5,2230,01-11-22,Cash,343,1887,5
484,C,New Jersey,Normal,Male,Sports,473,5,2365,21-03-20,Cash,394,1971,5
635,F,Hawai,Member,Male,Furniture,707,3,2121,12-06-22,Wallet,544,1577,5
746,E,Newyork,Normal,Male,Home,1845,3,5535,24-07-24,Cash,1419,4116,5
831,B,Atlanta,Normal,Male,Décor,1303,4,5212,03-03-21,Credit Card,1086,4126,5
771,D,Texas,Member,Male,Stationary,1213,3,3639,26-10-22,Cash,933,2706,5
884,E,Newyork,Normal,Male,Stationary,1108,5,5540,09-12-24,Cash,852,4688,3
555,B,Atlanta,Normal,Male,Home,1620,4,6480,31-05-20,Cash,1409,5071,5
911,B,Atlanta,Normal,Male,Home,853,5,4265,05-01-25,Cash,656,3609,4
887,F,Hawai,Member,Male,Sports,1305,3,3915,19-02-23,Cash,1004,2911,3
424,A,Orlando,Member,Male,Stationary,1035,3,3105,06-09-23,Cash,796,2309,5
944,E,Newyork,Normal,Male,Stationary,1711,2,3422,07-02-25,Cash,1316,2106,4
806,A,Orlando,Member,Male,Décor,1959,4,7836,06-02-21,Credit Card,1633,6203,5
631,B,Atlanta,Normal,Male,Stationary,1984,3,5952,08-06-22,Cash,1526,4426,4
710,E,Newyork,Normal,Male,Sports,1526,2,3052,18-06-24,Cash,1174,1878,3
857,F,Hawai,Member,Male,Sports,1846,3,5538,20-01-23,Cash,1420,4118,4
634,E,Newyork,Normal,Male,Décor,367,3,1101,11-06-22,Credit Card,282,819,5
448,A,Orlando,Member,Male,Furniture,693,3,2079,30-09-23,Wallet,533,1546,4
1034,A,Orlando,Member,Male,Sports,1877,3,5631,22-09-21,Cash,1444,4187,4
418,A,Orlando,Member,Male,Furniture,689,3,2067,31-08-23,Wallet,530,1537,5
508,C,New Jersey,Normal,Male,Stationary,903,5,4515,14-04-20,Cash,753,3762,3
657,F,Hawai,Member,Male,Décor,1565,4,6260,26-04-24,Credit Card,1204,5056,3
699,B,Atlanta,Normal,Male,Sports,1752,5,8760,22-10-20,Cash,1523,7237,3
958,C,New Jersey,Normal,Male,Stationary,1471,5,7355,08-07-21,Cash,1132,6223,3
787,B,Atlanta,Normal,Male,Sports,1045,5,5225,11-11-22,Cash,804,4421,5
1060,E,Newyork,Normal,Male,Furniture,325,4,1300,11-08-23,Wallet,250,1050,5
666,C,New Jersey,Normal,Male,Home,1040,2,2080,05-05-24,Cash,800,1280,3
443,F,Hawai,Member,Male,Home,1550,5,7750,02-12-21,Cash,1192,6558,4
460,E,Newyork,Normal,Male,Furniture,1180,4,4720,19-12-21,Wallet,908,3812,4
1027,B,Atlanta,Normal,Male,Sports,957,4,3828,09-07-23,Cash,736,3092,5
556,A,Orlando,Member,Male,Home,714,3,2142,16-01-24,Cash,549,1593,3
767,D,Texas,Member,Male,Furniture,489,5,2445,29-12-20,Wallet,408,2037,5
479,B,Atlanta,Normal,Male,Stationary,1636,4,6544,31-10-23,Cash,1258,5286,3
926,E,Newyork,Normal,Male,Home,382,4,1528,20-01-25,Cash,294,1234,3
556,C,New Jersey,Normal,Male,Décor,1717,2,3434,01-06-20,Credit Card,1493,1941,5
936,E,Newyork,Normal,Male,Décor,550,4,2200,16-06-21,Credit Card,423,1777,4
984,E,Newyork,Normal,Male,Sports,311,3,933,03-08-21,Cash,239,694,5
532,E,Newyork,Normal,Male,Sports,697,3,2091,01-03-22,Cash,536,1555,4
511,D,Texas,Member,Male,Home,994,5,4970,02-12-23,Cash,765,4205,5
644,E,Newyork,Normal,Male,Stationary,1457,3,4371,13-04-24,Cash,1121,3250,4
878,A,Orlando,Member,Male,Stationary,1299,5,6495,19-04-21,Cash,1083,5412,3
687,F,Hawai,Member,Male,Décor,804,2,1608,26-05-24,Credit Card,618,990,4
704,A,Orlando,Member,Male,Sports,1669,2,3338,27-10-20,Cash,1451,1887,3
542,C,New Jersey,Normal,Male,Sports,1475,3,4425,11-03-22,Cash,1135,3290,3
768,C,New Jersey,Normal,Male,Furniture,1096,5,5480,15-08-24,Wallet,843,4637,5
999,F,Hawai,Member,Male,Stationary,1265,3,3795,03-04-25,Cash,973,2822,3
580,E,Newyork,Normal,Male,Furniture,365,5,1825,18-04-22,Wallet,281,1544,3
504,E,Newyork,Normal,Male,Sports,1221,2,2442,10-04-20,Cash,1018,1424,3
431,F,Hawai,Member,Male,Stationary,1979,2,3958,20-11-21,Cash,1522,2436,4
1019,B,Atlanta,Normal,Male,Stationary,1172,4,4688,23-04-25,Cash,902,3786,5
673,F,Hawai,Member,Male,Stationary,464,2,928,26-09-20,Cash,403,525,4
742,C,New Jersey,Normal,Male,Furniture,484,3,1452,04-12-20,Wallet,403,1049,3
654,A,Orlando,Member,Male,Décor,1076,2,2152,01-07-22,Credit Card,828,1324,5
655,B,Atlanta,Normal,Male,Furniture,1852,4,7408,02-07-22,Wallet,1425,5983,4
528,C,New Jersey,Normal,Male,Furniture,1873,4,7492,19-12-23,Wallet,1441,6051,3
1029,D,Texas,Member,Male,Décor,1358,2,2716,11-07-23,Credit Card,1045,1671,3
964,A,Orlando,Member,Male,Stationary,586,2,1172,27-02-25,Cash,451,721,4
635,D,Texas,Member,Male,Home,503,2,1006,19-08-20,Cash,437,569,4
852,E,Newyork,Normal,Male,Furniture,1906,3,5718,24-03-21,Wallet,1588,4130,5
1039,F,Hawai,Member,Male,Sports,697,3,2091,27-09-21,Cash,536,1555,5
868,A,Orlando,Member,Male,Furniture,1568,5,7840,23-11-24,Wallet,1206,6634,4
568,E,Newyork,Normal,Male,Home,457,2,914,06-04-22,Cash,352,562,4
922,C,New Jersey,Normal,Male,Furniture,303,4,1212,02-06-21,Wallet,253,959,5
919,F,Hawai,Member,Male,Sports,547,2,1094,30-05-21,Cash,456,638,4
1061,D,Texas,Member,Male,Décor,1824,4,7296,19-10-21,Credit Card,1403,5893,3
914,C,New Jersey,Normal,Male,Décor,1253,2,2506,18-03-23,Credit Card,964,1542,5
772,E,Newyork,Normal,Male,Sports,535,3,1605,27-10-22,Cash,412,1193,5
416,E,Newyork,Normal,Male,Home,1497,3,4491,29-08-23,Cash,1152,3339,4
957,F,Hawai,Member,Male,Décor,1888,3,5664,20-02-25,Credit Card,1452,4212,3
601,B,Atlanta,Normal,Male,Stationary,1677,2,3354,09-05-22,Cash,1290,2064,3
990,C,New Jersey,Normal,Male,Sports,1886,2,3772,25-03-25,Cash,1451,2321,3
671,D,Texas,Member,Male,Décor,1834,3,5502,24-09-20,Credit Card,1595,3907,4
800,C,New Jersey,Normal,Male,Furniture,1840,4,7360,24-11-22,Wallet,1415,5945,5
964,E,Newyork,Normal,Male,Décor,811,2,1622,07-05-23,Credit Card,624,998,5
1057,B,Atlanta,Normal,Male,Sports,916,2,1832,08-08-23,Cash,705,1127,3
847,D,Texas,Member,Male,Décor,1591,4,6364,02-11-24,Credit Card,1224,5140,4
859,F,Hawai,Member,Male,Sports,1449,3,4347,31-03-21,Cash,1208,3139,4
923,D,Texas,Member,Male,Stationary,1572,3,4716,03-06-21,Cash,1310,3406,5
416,C,New Jersey,Normal,Male,Stationary,1750,3,5250,05-11-21,Cash,1346,3904,5
